code,ingredient,measure
AE,Almond essence, teaspoon
BM,Buttermilk, cup
BP,Baking powder, teaspoon
BR,Butter, cup
BS,Bananas, one
CA,Cocoa, tablespoon
CC,Cottage Cheese, pound
CE,Chocolate, ounce
CI,Crushed Ice, cup
CS,Crumbs, cup
CT,Cream of tartar, teaspoon
DC,Dried currants, tablespoon
EG,Eggs, one
EW,Egg white, one
EY,Egg yolk, one
FR,Sifted flour, cup
GN,Gelatin, tablespoon
HC,Heavy cream, cup
LJ,Lemon juice, tablespoon
LR,Lemon rind, teaspoon
MK,Milk, cup
NG,Nutmeg, teaspoon
NS,Nuts, cup
RM,Rum, ounce
SA,Soda, teaspoon
SC,Sour cream cup,
SG,Shortening, tablespoon
SR,Granulated sugar, cup
SS,Strawberries, quart
ST,Salt, teaspoon
VE,Vanilla extract, teaspoon
WR,Water, cup
YT,Yeast, ounce
ZH,Zwiebach, ounce